UKPRN,HE provider,Female,Male,Other,Total
10005523,Rose Bruford College of Theatre and Performance,445,290,0,735
10000163,AECC University College,335,380,0,715
10007839,SAE Education Limited,155,540,5,700
10030776,St Mellitus College,315,285,0,600
10007761,Courtauld Institute of Art,450,90,5,545
10019178,Point Blank Music School,75,450,0,525
10004511,The National Film and Television School,260,230,5,495
10022285,London School of Management Education,310,170,0,480
10000936,The University College of Osteopathy,260,200,0,465
10030391,London Churchill College Ltd,205,215,0,420
10022087,Futureworks,100,315,0,415
10002313,ESCP Europe Business School,175,230,0,405
10004320,The Metanoia Institute,325,80,0,405
10033187,Fairfield School of Business Ltd,225,170,0,395
10004450,Mountview Academy of Theatre Arts,220,170,0,395
10032282,The Queen's Foundation for Ecumenical Theological Education,235,140,0,375
10045476,Met Film School Limited,165,180,0,345
10003958,Liverpool School of Tropical Medicine,225,115,0,345
10004075,London School of Theology,165,175,0,340
10007797,University of London (Institutes and activities),210,120,0,330
10004079,London Studio Centre,300,30,0,330
10003758,LAMDA Limited,190,130,5,325
10013220,Institute of Art - London Limited,270,40,5,315
10003798,Le Cordon Bleu Limited,225,90,0,315
10006093,Spurgeon's College,100,195,0,295
10008397,Norland College,280,10,0,290
10023434,London School of Commerce & IT Limited,145,140,0,285
10003324,The Institute of Cancer Research,180,95,0,280
10000381,Arts Educational Schools,145,125,0,275
10004036,London Film School Limited,130,135,0,265
10023454,Moorlands College,115,150,0,265
10000248,Academy of Live and Recorded Arts,150,110,0,260
10003566,Kensington College of Business,155,95,0,250
10008289,The London Institute of Banking & Finance,70,180,0,245
10039082,City and Guilds of London Art School,160,70,0,235
10023458,The Sherwood Psychotherapy Training Institute Limited,190,40,0,230
10013109,London Bridge Business Academy,130,90,0,225
10009292,Royal Academy of Dramatic Art,120,100,0,220
10048199,New College of the Humanities,125,90,0,215
10021100,Regents Theological College,90,120,0,210
10068157,University Centre Peterborough,140,60,0,200
10010308,Cambridge Arts and Sciences Limited,140,50,5,195
10008325,KLC School of Design,180,10,0,190
10007361,Waverley Abbey College,165,20,0,185
10022047,Empire College London Limited,90,85,0,175
10001546,The College of Integrated Chinese Medicine,145,25,0,170
10009614,Grŵp NPTC Group,35,135,0,170
10023464,Trinity College Bristol,80,75,0,155
10032277,The Minster Centre,125,30,0,155
10004538,Nazarene Theological College,75,80,0,155
10066551,LCCM AU UK Limited,65,85,0,150
10004740,Northern College of Acupuncture,135,15,0,150
10007912,Cliff College,90,55,0,140
10010213,The City College,90,45,0,135
10010227,Oak Hill College,20,115,0,135
10005544,Royal Academy of Dance,125,0,0,125
10038763,ForMission Ltd,50,65,0,120
10032594,London School of Academics Ltd,60,60,0,120
10032072,The Cambridge Theological Federation,65,45,0,110
10030408,Gower College Swansea,60,50,0,110
10041898,Apex College London,70,35,0,105
10009612,Luther King House Educational Trust,60,40,0,105
10023452,The Markfield Institute of Higher Education,35,70,0,105
10001386,Chicken Shed Theatre Company,55,35,0,95
10023456,Newbold College,10,85,0,95
10062810,The London School of Architecture,35,50,0,90
10019368,London College of Business Studies,45,35,0,85
10001419,Christie's Education Limited,75,10,0,85
10004035,The Film Education Training Trust Limited,35,55,0,85
10026921,Christ the Redeemer College,40,40,0,80
10023453,Matrix College of Counselling and Psychotherapy Ltd,70,15,0,80
10024024,Central Film School London,25,45,0,75
10025197,University Centre Quayside Limited,45,30,0,75
10000216,All Nations Christian College,40,30,0,70
10020416,Mattersey Hall,25,40,0,65
10020439,Oxford Business College,20,45,0,65
10032036,Amity Global Education,25,30,0,60
10032288,West Dean College,40,20,0,60
10000894,Bristol Baptist College,25,30,0,55
10067388,The Institute of Ismaili Studies,35,15,0,50
10034324,Court Theatre Training Company Ltd,30,15,0,45
10004365,Millennium Performing Arts Ltd,35,10,0,45
10023445,ICOM,40,10,0,45
10004023,London College of International Business Studies Ltd,15,20,0,40
10029682,The Islamic College,25,15,0,40
10021256,The Salvation Army,20,15,0,40
10045289,St Nicholas Montessori Training Limited,35,0,0,35
10083476,The Prince's Foundation,15,10,0,25
10022021,UK College of Business and Computing,10,10,0,15
